timestamp,askPrice,bidPrice,askVolume,bidVolume
1517210075328,2872.431,2871.869,0.00204,0.00055
1517210076986,2872.531,2871.77,0.00157,0.00198
1517210077037,2872.531,2871.77,0.00204,0.00198
1517210077102,2872.43,2871.77,0.00204,0.00198
1517210078277,2872.43,2871.869,0.00157,0.00055
1517210079277,2872.43,2871.77,0.00204,0.00198
1517210079328,2872.43,2871.869,0.00157,0.00055
1517210080919,2872.53,2871.869,0.00204,0.00198
1517210081007,2872.53,2871.769,0.00157,0.00198
1517210081217,2872.631,2871.77,0.00204,0.00198
1517210081587,2872.631,2872.019,0.00157,0.00055
1517210081857,2872.631,2872.019,0.00204,0.00055
1517210088450,2872.631,2872.019,0.00157,0.00055
1517210088515,2872.631,2872.019,0.00204,0.00055
1517210130647,2872.631,2871.77,0.00204,0.00198
1517210130749,2872.431,2871.869,0.00204,0.00055
1517210130808,2872.431,2871.769,0.00204,0.00198
1517210131239,2872.431,2871.869,0.00204,0.00055
1517210131772,2872.431,2872.02,0.00157,0.00055
1517210131873,2872.63,2872.019,0.00204,0.00055
1517210202269,2872.63,2871.77,0.00204,0.00198
1517210202353,2872.431,2871.869,0.00204,0.00055
1517210246035,2872.431,2871.87,0.00157,0.00055
1517210246086,2872.431,2872.02,0.00157,0.00055
1517210246154,2872.63,2872.02,0.00204,0.00055
1517210274017,2872.63,2872.02,0.00157,0.00055
1517210274067,2872.63,2872.119,0.00157,0.00055
1517210281398,2872.63,2872.269,0.00157,0.00055
1517210281499,2872.93,2872.27,0.00204,0.00198
1517210288244,2872.93,2872.119,0.00204,0.00198
1517210288296,2872.631,2872.119,0.00157,0.00055
1517210323192,2872.631,2872.269,0.00157,0.00055
1517210323293,2872.931,2872.269,0.00204,0.00198
1517210324317,2872.931,2872.269,0.00204,0.00198
1517210324367,2872.931,2872.27,0.00204,0.00055
1517210339841,2872.931,2871.769,0.00204,0.00198
1517210340571,2872.931,2872.27,0.00204,0.00055
1517210346647,2872.931,2871.77,0.00204,0.00198
1517210347174,2872.931,2872.27,0.00204,0.00055
1517210375388,2872.931,2871.769,0.00204,0.00198
1517210375747,2872.63,2872.119,0.00157,0.00055
1517210378909,2872.63,2872.27,0.00157,0.00055
1517210379010,2872.931,2872.269,0.00204,0.00198
1517210380812,2872.931,2872.02,0.00204,0.00198
1517210380863,2872.931,2872.119,0.00249,0.00198
1517210380921,2872.631,2872.119,0.00157,0.00055
1517210382129,2872.631,2872.269,0.00157,0.00055
1517210382230,2872.931,2872.269,0.00204,0.00198
1517210398176,2872.931,2872.27,0.00204,0.00055
1517210398227,2872.931,2872.369,0.00204,0.00055
1517210439591,2872.931,2872.519,0.00157,0.00055
1517210439692,2873.13,2872.519,0.00204,0.00055
1517210453105,2873.13,2872.27,0.00204,0.00198
1517210453157,2873.13,2872.269,0.00204,0.00198
1517210453274,2872.931,2872.37,0.00204,0.00055
1517210456204,2872.931,2872.37,0.00157,0.00055
1517210456254,2872.931,2872.519,0.00157,0.00055
1517210456355,2873.131,2872.52,0.00204,0.00055
1517210571607,2873.131,2872.77,0.00157,0.00055
1517210571722,2873.43,2872.77,0.00204,0.00198
1517210578548,2873.43,2872.519,0.00204,0.00198
1517210578598,2873.43,2872.52,0.00204,0.00198
1517210578649,2873.43,2872.52,0.00204,0.00198
1517210580715,2873.43,2872.519,0.00204,0.00198
1517210581043,2873.13,2872.62,0.00157,0.00055
1517210585102,2873.13,2872.77,0.00157,0.00055
1517210585203,2873.431,2872.77,0.00204,0.00055
1517210602000,2873.431,2872.769,0.00204,0.00198
1517210602051,2873.431,2872.87,0.00204,0.00055
1517210613750,2873.431,2872.769,0.00204,0.00198
1517210613800,2873.431,2872.769,0.00204,0.00198
1517210620017,2873.431,2872.52,0.00204,0.00198
1517210620493,2873.131,2872.62,0.00157,0.00055
1517210638096,2873.131,2872.77,0.00157,0.00055
1517210638165,2873.43,2872.77,0.00204,0.00198
1517210671102,2873.43,2872.77,0.00204,0.00198
1517210671153,2873.43,2872.87,0.00204,0.00055
1517210671877,2873.43,2872.77,0.00204,0.00198
1517210671927,2873.43,2872.869,0.00157,0.00055
1517210672604,2873.43,2872.769,0.00157,0.00198
1517210672817,2873.43,2872.869,0.00157,0.00055
1517210677356,2873.43,2872.769,0.00157,0.00198
1517210677604,2873.43,2872.869,0.00157,0.00055
1517210680958,2873.43,2872.769,0.00157,0.00198
1517210682500,2873.43,2873.02,0.00157,0.00055
1517210682573,2873.631,2873.02,0.00204,0.00055
1517210691062,2873.631,2872.769,0.00204,0.00198
1517210691112,2873.631,2872.77,0.00204,0.00198
1517210691213,2873.431,2872.869,0.00204,0.00055
1517210761146,2873.131,2872.869,0.00157,0.00055
1517210761258,2873.131,2872.67,0.00157,0.00055
1517210761308,2873.131,2872.72,0.00157,0.00055
1517210782568,2873.131,2872.619,0.00157,0.00055
1517210782622,2873.131,2872.87,0.00157,0.00055
1517210782723,2873.431,2872.87,0.00204,0.00055
1517210793987,2873.431,2872.869,0.00157,0.00055
1517210794038,2873.431,2872.97,0.00157,0.00055
